[02/Nov/2020 16:59:13] INFO [django.utils.autoreload:613] Watching for file changes with StatReloader
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:300] Waiting for apps ready_event.
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:296] Main Django thread has terminated before apps are ready.
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:312] Apps ready_event triggered. Sending autoreload_started signal.
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:266] Watching dir /Users/angryong/take2/locale with glob **/*.mo.
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/messages/api.py first seen with mtime 1604303042.9125304
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/fcntl.cpython-39-darwin.so first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/utils/asyncio.py first seen with mtime 1604303043.743191
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/io.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/__init__.py first seen with mtime 1604303041.5121272
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1604303043.6470478
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/http/cookies.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/mime/message.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/messages/constants.py first seen with mtime 1604303042.9130096
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/db/migrations/operations/utils.py first seen with mtime 1604303043.659533
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1604303043.578061
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/operator.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/gettext.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/template/loader.py first seen with mtime 1604303043.7241504
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/admin/__init__.py first seen with mtime 1604303041.7310896
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/_encoded_words.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/conf/global_settings.py first seen with mtime 1604303041.5173736
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/conf/locale/__init__.py first seen with mtime 1604303041.52147
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/admin/widgets.py first seen with mtime 1604303041.7387211
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/core/exceptions.py first seen with mtime 1604303043.5744917
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/pickle.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/html/parser.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_contextvars.cpython-39-darwin.so first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/utils/datastructures.py first seen with mtime 1604303043.7456543
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/uuid.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/admin/models.py first seen with mtime 1604303041.7353284
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/admin/helpers.py first seen with mtime 1604303041.734865
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/utils/version.py first seen with mtime 1604303043.7620835
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/template/loader_tags.py first seen with mtime 1604303043.7246165
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/template/backends/base.py first seen with mtime 1604303043.7268288
